#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,World,"85,778,051","+283,095","1,855,641","+5,096","60,652,889","+206,305","23,269,521","107,394","11,005",238.1,,,,All,"
",,
1,USA,"21,144,403","+30,875","360,379 ",+301,"12,456,656","+19,698","8,327,368","29,375","63,689","1,086","258,356,195","778,200","331,992,130",North America,16,921,1
2,India,"10,355,660","+14,369","149,860 ",+174,"9,971,875","+25,744","233,925","8,944","7,467",108,"175,635,761","126,639","1,386,901,042",Asia,134,"9,255",8
3,Brazil,"7,734,867","+1,121","196,136 ",+118,"6,813,008",,"725,723","8,318","36,258",919,"28,600,000","134,065","213,328,992",South America,28,"1,088",7
4,Russia,"3,260,138","+23,351","58,988 ",+482,"2,640,036","+21,154","561,114","2,300","22,335",404,"91,800,000","628,912","145,966,482",Europe,45,"2,475",2
5,UK,"2,713,563","+58,784","75,431  ",+407,N/A,N/A,N/A,"1,847","39,866","1,108","56,665,511","832,485","68,067,881",Europe,25,902,1
6,France,"2,659,750","+4,022","65,415 ",+378,"196,037",+863,"2,398,298","2,666","40,702","1,001","36,125,326","552,820","65,347,330",Europe,25,999,2
7,Turkey,"2,255,607","+13,695","21,685 ",+197,"2,146,430","+9,896","87,492","3,522","26,599",256,"25,132,152","296,370","84,800,062",Asia,38,"3,911",3
8,Italy,"2,166,244","+10,800","75,680 ",+348,"1,520,106","+16,206","570,458","2,579","35,855","1,253","27,004,272","446,970","60,416,274",Europe,28,798,2
9,Spain,"1,936,718",,"50,837 ",,N/A,N/A,N/A,"2,018","41,415","1,087","27,839,319","595,315","46,764,045",Europe,24,920,2
10,Germany,"1,789,191","+5,031","35,398 ",+293,"1,401,200","+19,300","352,593","5,726","21,320",422,"34,801,593","414,696","83,920,769",Europe,47,"2,371",2
11,Colombia,"1,675,820",,"43,965 ",,"1,542,353",,"89,502","3,482","32,757",859,"8,238,961","161,048","51,158,403",South America,31,"1,164",6
12,Argentina,"1,640,718",,"43,482 ",,"1,452,960",,"144,276","3,433","36,134",958,"4,919,347","108,340","45,406,688",South America,28,"1,044",9
13,Mexico,"1,448,755","+5,211","127,213 ",+362,"1,098,431","+7,526","223,111","3,913","11,177",981,"3,670,800","28,319","129,620,985",North America,89,"1,019",35
14,Poland,"1,322,947","+4,432","29,161 ",+42,"1,069,554","+6,461","224,232","1,642","34,975",771,"7,307,919","193,201","37,825,379",Europe,29,"1,297",5
15,Iran,"1,249,507","+6,073","55,650 ",+110,"1,020,737","+7,719","173,120","4,901","14,780",658,"7,831,359","92,637","84,538,212",Asia,68,"1,519",11
16,South Africa,"1,100,748",,"29,577 ",,"903,679",,"167,492",546,"18,442",496,"6,742,853","112,968","59,688,004",Africa,54,"2,018",9
17,Ukraine,"1,078,251","+4,158","18,927 ",+73,"733,558","+4,693","325,766",177,"24,731",434,"5,585,615","128,114","43,598,744",Europe,40,"2,304",8
18,Peru,"1,019,475",,"37,830 ",,"958,682",,"22,963","1,286","30,703","1,139","5,555,591","167,314","33,204,606",South America,33,878,6
19,Netherlands,"827,726","+6,563","11,675 ",+63,N/A,N/A,N/A,715,"48,252",681,"6,001,738","349,869","17,154,249",Europe,21,"1,469",3
20,Indonesia,"772,103","+6,753","22,911 ",+177,"639,103","+7,166","110,089",,"2,808",83,"7,516,860","27,335","274,993,028",Asia,356,"12,003",37
21,Czechia,"746,714","+6,220","12,070 ",+59,"615,083",+78,"119,561",877,"69,662","1,126","3,848,064","358,990","10,719,137",Europe,14,888,3
22,Belgium,"650,011",+842,"19,701 ",+57,"44,894",+54,"585,416",467,"55,961","1,696","6,993,426","602,084","11,615,363",Europe,18,590,2
23,Romania,"643,559","+3,130","16,057 ",+78,"577,198","+2,301","50,304","1,100","33,568",838,"4,837,361","252,318","19,171,716",Europe,30,"1,194",4
24,Chile,"620,641","+2,450","16,767 ",,"586,900","+2,443","16,974",787,"32,326",873,"6,603,470","343,936","19,199,688",South America,31,"1,145",3
25,Canada,"607,476","+5,813","15,926 ",+61,"508,795","+3,819","82,755",711,"16,024",420,"14,041,448","370,384","37,910,496",North America,62,"2,380",3
26,Iraq,"598,369",+595,"12,844 ",+10,"545,529","+1,809","39,996",141,"14,710",316,"4,677,789","114,999","40,676,835",Asia,68,"3,167",9
